epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.02331,1.03765,2.59414,1.23242,0.56607,0.85,0.87816,0.63499,1.65875,1.06267,1.38261,0,0,0
2,3.86406,1.02506,3.6482,1.45021,0.5633,0.85,0.88864,0.6374,1.68041,1.05937,1.38864,1.17822e-06,1.17822e-06,1.17822e-06
3,5.48132,1.16475,3.47988,1.37231,0.57093,0.85,0.85546,0.62172,1.6889,1.06068,1.38993,2.33288e-06,2.33288e-06,2.33288e-06
4,7.12852,1.14299,2.84119,1.37671,0.6085,0.92596,0.90519,0.64286,1.67593,1.05707,1.37332,3.46397e-06,3.46397e-06,3.46397e-06
5,8.82987,1.20514,2.1193,1.72103,0.55024,0.85,0.85669,0.63618,1.66416,1.05476,1.36442,4.5715e-06,4.5715e-06,4.5715e-06
6,10.4592,1.16088,2.53633,1.53628,0.54901,0.86193,0.87521,0.62872,1.66534,1.06468,1.36507,5.65548e-06,5.65548e-06,5.65548e-06
7,12.1892,1.2971,2.53356,1.5763,0.55154,0.86581,0.8846,0.62965,1.66013,1.06369,1.3604,6.71588e-06,6.71588e-06,6.71588e-06
8,14.0375,1.18347,2.41184,1.61997,0.53734,0.86667,0.89452,0.63073,1.64899,1.05414,1.3543,7.75273e-06,7.75273e-06,7.75273e-06
9,15.7957,1.21661,3.21698,1.43019,0.53427,0.86667,0.89432,0.63229,1.64789,1.0559,1.3509,8.76602e-06,8.76602e-06,8.76602e-06
10,17.6858,1.1285,2.43798,1.40042,0.61723,0.93822,0.90844,0.63348,1.63859,1.05135,1.3466,9.75574e-06,9.75574e-06,9.75574e-06
11,19.3248,1.38356,2.70484,1.71332,0.62641,0.94311,0.90939,0.63436,1.63527,1.04767,1.34433,1.07219e-05,1.07219e-05,1.07219e-05
12,21.313,0.93332,1.73735,1.36706,0.63649,0.94213,0.91134,0.63498,1.64061,1.0629,1.34715,1.16645e-05,1.16645e-05,1.16645e-05
13,23.0159,1.19063,2.66562,1.49566,0.6502,0.94068,0.91158,0.64453,1.64389,1.07534,1.34752,1.25835e-05,1.25835e-05,1.25835e-05
14,24.5228,1.21426,3.46068,1.63309,0.6561,0.77125,0.91183,0.65091,1.64251,1.0888,1.34667,1.3479e-05,1.3479e-05,1.3479e-05
15,26.2859,1.25703,2.47554,1.6745,0.65894,0.93791,0.91339,0.6487,1.64405,1.08881,1.34801,1.43509e-05,1.43509e-05,1.43509e-05
16,28.33,1.00343,2.16524,1.42849,0.64826,0.93581,0.91362,0.64688,1.62866,1.09104,1.34571,1.51993e-05,1.51993e-05,1.51993e-05
17,30.1862,0.7144,2.37606,1.22706,0.65361,0.93722,0.91368,0.64773,1.64311,1.10726,1.34744,1.60241e-05,1.60241e-05,1.60241e-05
18,31.9014,1.18322,2.38711,1.52487,0.65361,0.93722,0.91368,0.64773,1.64311,1.10726,1.34744,1.68253e-05,1.68253e-05,1.68253e-05
19,33.6808,1.07475,2.10773,1.34418,0.65704,0.76486,0.9121,0.64056,1.63454,1.138,1.35095,1.7603e-05,1.7603e-05,1.7603e-05
20,35.157,1.13904,2.42469,1.48967,0.65704,0.76486,0.9121,0.64056,1.63454,1.138,1.35095,1.83571e-05,1.83571e-05,1.83571e-05
21,36.6688,0.97013,2.15135,1.29808,0.85079,0.65,0.91487,0.62546,1.62941,1.17622,1.35113,1.90876e-05,1.90876e-05,1.90876e-05
22,38.0312,0.9797,1.8363,1.32678,0.85079,0.65,0.91487,0.62546,1.62941,1.17622,1.35113,1.97946e-05,1.97946e-05,1.97946e-05
23,39.3607,0.82853,1.70234,1.28165,0.84931,0.65,0.91146,0.6238,1.64782,1.20436,1.36088,2.0478e-05,2.0478e-05,2.0478e-05
24,40.7035,1.22082,1.6932,1.58969,0.84931,0.65,0.91146,0.6238,1.64782,1.20436,1.36088,2.11379e-05,2.11379e-05,2.11379e-05
25,42.0603,0.92379,1.7631,1.19988,0.82606,0.65,0.85737,0.61211,1.63502,1.23056,1.35852,2.17741e-05,2.17741e-05,2.17741e-05
26,43.3565,0.7312,1.52567,1.16932,0.82606,0.65,0.85737,0.61211,1.63502,1.23056,1.35852,2.23869e-05,2.23869e-05,2.23869e-05
27,44.7991,0.85633,1.30865,1.14058,0.80586,0.65,0.85755,0.61638,1.6268,1.25449,1.35627,2.2976e-05,2.2976e-05,2.2976e-05
28,46.0942,0.71014,1.12165,1.18882,0.80586,0.65,0.85755,0.61638,1.6268,1.25449,1.35627,2.35417e-05,2.35417e-05,2.35417e-05
29,47.4613,1.07139,1.46552,1.40534,0.77389,0.65,0.85676,0.61581,1.62177,1.29956,1.35598,2.40837e-05,2.40837e-05,2.40837e-05
30,48.8471,0.83646,1.87843,1.24946,0.77389,0.65,0.85676,0.61581,1.62177,1.29956,1.35598,2.46022e-05,2.46022e-05,2.46022e-05
31,50.2269,0.77067,1.24644,1.20069,0.74416,0.65,0.85722,0.61556,1.62411,1.34202,1.35415,2.50971e-05,2.50971e-05,2.50971e-05
32,51.5597,0.91073,1.47313,1.25811,0.74416,0.65,0.85722,0.61556,1.62411,1.34202,1.35415,2.55685e-05,2.55685e-05,2.55685e-05
33,52.9286,0.87952,1.89556,1.17176,0.72746,0.65659,0.852,0.6183,1.59882,1.38593,1.34322,2.60163e-05,2.60163e-05,2.60163e-05
34,54.2375,0.83798,1.46283,1.23553,0.72746,0.65659,0.852,0.6183,1.59882,1.38593,1.34322,2.64405e-05,2.64405e-05,2.64405e-05
35,55.6975,0.78073,1.03817,1.16972,0.71331,0.66667,0.85271,0.60085,1.60309,1.44546,1.33883,2.68412e-05,2.68412e-05,2.68412e-05
36,57.2333,1.001,1.11708,1.31992,0.71331,0.66667,0.85271,0.60085,1.60309,1.44546,1.33883,2.72183e-05,2.72183e-05,2.72183e-05
37,58.7829,0.40356,0.6549,0.90167,0.69178,0.68071,0.76889,0.52578,1.65539,1.48033,1.36224,2.75718e-05,2.75718e-05,2.75718e-05
38,60.1331,0.99962,1.24127,1.45163,0.69178,0.68071,0.76889,0.52578,1.65539,1.48033,1.36224,2.79018e-05,2.79018e-05,2.79018e-05
39,61.586,0.76111,1.39275,1.11996,0.75178,0.53096,0.68403,0.4748,1.66377,1.55748,1.36563,2.82082e-05,2.82082e-05,2.82082e-05
40,62.9467,0.43701,1.36077,1.02795,0.75178,0.53096,0.68403,0.4748,1.66377,1.55748,1.36563,2.84911e-05,2.84911e-05,2.84911e-05
41,64.352,0.77911,1.01478,1.21198,0.74461,0.53333,0.68398,0.43958,1.68305,1.63671,1.38215,2.87504e-05,2.87504e-05,2.87504e-05
42,65.6557,0.85074,1.48256,1.34874,0.74461,0.53333,0.68398,0.43958,1.68305,1.63671,1.38215,2.89861e-05,2.89861e-05,2.89861e-05
43,66.9875,1.02399,1.69469,1.37978,0.57995,0.52356,0.68218,0.43151,1.70674,1.69206,1.40434,2.91983e-05,2.91983e-05,2.91983e-05
44,68.5693,0.96666,1.59365,1.37841,0.57995,0.52356,0.68218,0.43151,1.70674,1.69206,1.40434,2.93869e-05,2.93869e-05,2.93869e-05
45,70.0265,0.78452,1.12588,1.23228,0.74647,0.51667,0.61693,0.37364,1.72906,1.75555,1.41792,2.9552e-05,2.9552e-05,2.9552e-05
46,71.4438,0.78466,0.76169,1.07982,0.74647,0.51667,0.61693,0.37364,1.72906,1.75555,1.41792,2.96935e-05,2.96935e-05,2.96935e-05
47,72.8806,1.0793,1.07783,1.41803,0.75078,0.51667,0.61442,0.35536,1.72254,1.76945,1.41434,2.98114e-05,2.98114e-05,2.98114e-05
48,74.2345,0.76919,0.86023,1.21024,0.75078,0.51667,0.61442,0.35536,1.72254,1.76945,1.41434,2.99058e-05,2.99058e-05,2.99058e-05
49,75.6255,0.56532,0.91884,1.05672,0.76391,0.51667,0.60888,0.35477,1.71051,1.84521,1.41474,2.99766e-05,2.99766e-05,2.99766e-05
50,76.9949,0.8643,0.94892,1.32669,0.76391,0.51667,0.60888,0.35477,1.71051,1.84521,1.41474,3.00238e-05,3.00238e-05,3.00238e-05
51,78.5028,0.71992,0.99181,1.03365,0.79623,0.51667,0.54122,0.29456,1.75512,1.937,1.43875,3.00475e-05,3.00475e-05,3.00475e-05
52,80.0676,0.51194,0.82499,1.00766,0.79623,0.51667,0.54122,0.29456,1.75512,1.937,1.43875,3.00476e-05,3.00476e-05,3.00476e-05
53,81.5046,0.71723,0.95625,1.17894,0.79623,0.51667,0.54122,0.29456,1.75512,1.937,1.43875,3.00242e-05,3.00242e-05,3.00242e-05
54,82.9333,0.73958,0.8297,1.18691,0.80964,0.51541,0.53628,0.28752,1.7794,2.02993,1.4475,2.99772e-05,2.99772e-05,2.99772e-05
55,84.4452,0.82179,0.94188,1.20988,0.80964,0.51541,0.53628,0.28752,1.7794,2.02993,1.4475,2.99066e-05,2.99066e-05,2.99066e-05
56,86.0172,1.12346,1.43348,1.33177,0.80964,0.51541,0.53628,0.28752,1.7794,2.02993,1.4475,2.98125e-05,2.98125e-05,2.98125e-05
57,87.4132,0.87074,0.90318,1.29317,0.82301,0.50826,0.52167,0.25599,1.80454,2.13988,1.4558,2.96948e-05,2.96948e-05,2.96948e-05
58,88.8958,0.58147,0.6729,1.01328,0.82301,0.50826,0.52167,0.25599,1.80454,2.13988,1.4558,2.95535e-05,2.95535e-05,2.95535e-05
59,90.4161,0.74906,1.00121,1.28045,0.82301,0.50826,0.52167,0.25599,1.80454,2.13988,1.4558,2.93887e-05,2.93887e-05,2.93887e-05
60,92.0433,0.58881,1.03842,1.1461,0.83071,0.5049,0.5204,0.25462,1.78493,2.19552,1.45328,2.92003e-05,2.92003e-05,2.92003e-05
61,93.6056,0.86615,1.04724,1.17672,0.83071,0.5049,0.5204,0.25462,1.78493,2.19552,1.45328,2.89884e-05,2.89884e-05,2.89884e-05
62,95.1079,0.86027,0.87741,1.29571,0.83071,0.5049,0.5204,0.25462,1.78493,2.19552,1.45328,2.87529e-05,2.87529e-05,2.87529e-05
63,96.6205,0.79773,1.41479,1.0981,0.84573,0.50373,0.51965,0.25855,1.7689,2.23274,1.45214,2.84938e-05,2.84938e-05,2.84938e-05
