epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,98.007,0.75179,0.85753,1.2368,0.84573,0.50373,0.51965,0.25855,1.7689,2.23274,1.45214,2.82112e-05,2.82112e-05,2.82112e-05
65,99.4933,0.76201,0.96797,1.13449,0.84573,0.50373,0.51965,0.25855,1.7689,2.23274,1.45214,2.7905e-05,2.7905e-05,2.7905e-05
66,100.959,0.81458,0.89155,1.25414,0.84905,0.49578,0.51814,0.2604,1.74203,2.20699,1.45236,2.75753e-05,2.75753e-05,2.75753e-05
67,102.321,0.82303,1.13866,1.23041,0.84905,0.49578,0.51814,0.2604,1.74203,2.20699,1.45236,2.7222e-05,2.7222e-05,2.7222e-05
68,103.872,0.67172,0.84105,1.09565,0.84905,0.49578,0.51814,0.2604,1.74203,2.20699,1.45236,2.68451e-05,2.68451e-05,2.68451e-05
69,105.29,0.67496,0.66263,1.17771,0.84469,0.49329,0.51919,0.26159,1.76941,2.20543,1.46441,2.64447e-05,2.64447e-05,2.64447e-05
70,106.691,0.70963,0.65261,1.03016,0.84469,0.49329,0.51919,0.26159,1.76941,2.20543,1.46441,2.60207e-05,2.60207e-05,2.60207e-05
71,108.108,0.84633,0.82864,1.22845,0.84469,0.49329,0.51919,0.26159,1.76941,2.20543,1.46441,2.55731e-05,2.55731e-05,2.55731e-05
72,109.549,0.86849,0.98513,1.13573,0.84933,0.49271,0.51682,0.30911,1.80278,2.32437,1.49987,2.5102e-05,2.5102e-05,2.5102e-05
73,110.976,0.76885,1.07783,1.16794,0.84933,0.49271,0.51682,0.30911,1.80278,2.32437,1.49987,2.46073e-05,2.46073e-05,2.46073e-05
74,112.411,0.82657,0.77806,1.14316,0.84933,0.49271,0.51682,0.30911,1.80278,2.32437,1.49987,2.40891e-05,2.40891e-05,2.40891e-05
75,113.832,0.65307,0.65741,1.19993,0.84694,0.49462,0.51634,0.25391,1.80357,2.29744,1.50002,2.35472e-05,2.35472e-05,2.35472e-05
76,115.443,0.57034,0.73573,1.05877,0.84694,0.49462,0.51634,0.25391,1.80357,2.29744,1.50002,2.29819e-05,2.29819e-05,2.29819e-05
77,116.859,0.73149,0.71286,1.19279,0.84694,0.49462,0.51634,0.25391,1.80357,2.29744,1.50002,2.23929e-05,2.23929e-05,2.23929e-05
78,118.306,0.61486,0.965,1.08718,0.84691,0.49246,0.51891,0.30444,1.82078,2.37861,1.52226,2.17805e-05,2.17805e-05,2.17805e-05
79,119.707,0.87857,0.74252,1.19567,0.84691,0.49246,0.51891,0.30444,1.82078,2.37861,1.52226,2.11444e-05,2.11444e-05,2.11444e-05
80,121.145,0.73225,0.73291,1.10854,0.84691,0.49246,0.51891,0.30444,1.82078,2.37861,1.52226,2.04848e-05,2.04848e-05,2.04848e-05
81,122.592,0.68873,0.66166,1.21573,0.84571,0.49074,0.52049,0.24763,1.82675,2.27576,1.51469,1.98016e-05,1.98016e-05,1.98016e-05
82,123.973,0.59674,0.65968,1.00476,0.84571,0.49074,0.52049,0.24763,1.82675,2.27576,1.51469,1.90949e-05,1.90949e-05,1.90949e-05
83,125.508,0.74144,0.73236,1.10527,0.84571,0.49074,0.52049,0.24763,1.82675,2.27576,1.51469,1.83646e-05,1.83646e-05,1.83646e-05
84,127.127,0.76051,0.86879,1.13617,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.76107e-05,1.76107e-05,1.76107e-05
85,128.497,0.64475,0.74439,1.10787,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.68333e-05,1.68333e-05,1.68333e-05
86,129.998,0.97378,1.1296,1.47602,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.60323e-05,1.60323e-05,1.60323e-05
87,131.393,0.73745,1.04141,1.21152,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.52077e-05,1.52077e-05,1.52077e-05
88,132.85,0.60957,0.67341,1.00025,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.43596e-05,1.43596e-05,1.43596e-05
89,134.266,0.63702,0.72396,1.10434,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.34879e-05,1.34879e-05,1.34879e-05
90,135.777,0.53165,0.63385,1.01129,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.25927e-05,1.25927e-05,1.25927e-05
91,137.267,0.52647,0.50355,0.91787,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.16739e-05,1.16739e-05,1.16739e-05
92,138.843,0.63173,0.54676,1.08449,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,1.07315e-05,1.07315e-05,1.07315e-05
93,140.502,0.78585,0.59949,1.34154,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,9.76562e-06,9.76562e-06,9.76562e-06
94,142.039,0.46611,0.4065,0.8987,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,8.77613e-06,8.77613e-06,8.77613e-06
95,143.433,0.59939,0.54963,0.93449,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,7.76308e-06,7.76308e-06,7.76308e-06
96,144.868,0.48272,0.4714,0.93384,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,6.72648e-06,6.72648e-06,6.72648e-06
97,146.327,0.60111,0.57191,0.99415,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,5.6663e-06,5.6663e-06,5.6663e-06
98,147.789,0.46017,0.55093,0.91644,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,4.58257e-06,4.58257e-06,4.58257e-06
99,149.789,0.5212,0.48517,0.94859,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,3.47528e-06,3.47528e-06,3.47528e-06
100,151.604,0.50996,0.52525,1.0159,0.82897,0.48974,0.51809,0.31889,1.73984,2.08499,1.4272,2.34442e-06,2.34442e-06,2.34442e-06
