epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,32.0309,1.07475,2.10773,1.34418,0.65704,0.76486,0.9121,0.64056,1.63454,1.138,1.35095,1.7603e-05,1.7603e-05,1.7603e-05
20,33.4931,1.13904,2.42469,1.48967,0.65704,0.76486,0.9121,0.64056,1.63454,1.138,1.35095,1.83571e-05,1.83571e-05,1.83571e-05
21,35.0398,0.97013,2.15135,1.29808,0.85079,0.65,0.91487,0.62546,1.62941,1.17622,1.35113,1.90876e-05,1.90876e-05,1.90876e-05
22,36.6619,0.9797,1.8363,1.32678,0.85079,0.65,0.91487,0.62546,1.62941,1.17622,1.35113,1.97946e-05,1.97946e-05,1.97946e-05
23,38.0276,0.82853,1.70234,1.28165,0.84931,0.65,0.91146,0.6238,1.64782,1.20436,1.36088,2.0478e-05,2.0478e-05,2.0478e-05
24,39.4933,1.22082,1.6932,1.58969,0.84931,0.65,0.91146,0.6238,1.64782,1.20436,1.36088,2.11379e-05,2.11379e-05,2.11379e-05
25,41.1214,0.92379,1.7631,1.19988,0.82606,0.65,0.85737,0.61211,1.63502,1.23056,1.35852,2.17741e-05,2.17741e-05,2.17741e-05
26,42.6862,0.7312,1.52567,1.16932,0.82606,0.65,0.85737,0.61211,1.63502,1.23056,1.35852,2.23869e-05,2.23869e-05,2.23869e-05
27,44.1197,0.85633,1.30865,1.14058,0.80586,0.65,0.85755,0.61638,1.6268,1.25449,1.35627,2.2976e-05,2.2976e-05,2.2976e-05
28,45.5614,0.71014,1.12165,1.18882,0.80586,0.65,0.85755,0.61638,1.6268,1.25449,1.35627,2.35417e-05,2.35417e-05,2.35417e-05
29,47.0829,1.07139,1.46552,1.40534,0.77389,0.65,0.85676,0.61581,1.62177,1.29956,1.35598,2.40837e-05,2.40837e-05,2.40837e-05
30,48.4157,0.83646,1.87843,1.24946,0.77389,0.65,0.85676,0.61581,1.62177,1.29956,1.35598,2.46022e-05,2.46022e-05,2.46022e-05
31,49.854,0.77067,1.24644,1.20069,0.74416,0.65,0.85722,0.61556,1.62411,1.34202,1.35415,2.50971e-05,2.50971e-05,2.50971e-05
32,51.4253,0.91073,1.47313,1.25811,0.74416,0.65,0.85722,0.61556,1.62411,1.34202,1.35415,2.55685e-05,2.55685e-05,2.55685e-05
33,52.8783,0.87952,1.89556,1.17176,0.72746,0.65659,0.852,0.6183,1.59882,1.38593,1.34322,2.60163e-05,2.60163e-05,2.60163e-05
34,54.2619,0.83798,1.46283,1.23553,0.72746,0.65659,0.852,0.6183,1.59882,1.38593,1.34322,2.64405e-05,2.64405e-05,2.64405e-05
35,55.6717,0.78073,1.03817,1.16972,0.71331,0.66667,0.85271,0.60085,1.60309,1.44546,1.33883,2.68412e-05,2.68412e-05,2.68412e-05
36,57.0621,1.001,1.11708,1.31992,0.71331,0.66667,0.85271,0.60085,1.60309,1.44546,1.33883,2.72183e-05,2.72183e-05,2.72183e-05
37,58.4469,0.40356,0.6549,0.90167,0.69178,0.68071,0.76889,0.52578,1.65539,1.48033,1.36224,2.75718e-05,2.75718e-05,2.75718e-05
38,59.9399,0.99962,1.24127,1.45163,0.69178,0.68071,0.76889,0.52578,1.65539,1.48033,1.36224,2.79018e-05,2.79018e-05,2.79018e-05
39,61.4748,0.76111,1.39275,1.11996,0.75178,0.53096,0.68403,0.4748,1.66377,1.55748,1.36563,2.82082e-05,2.82082e-05,2.82082e-05
40,62.9667,0.43701,1.36077,1.02795,0.75178,0.53096,0.68403,0.4748,1.66377,1.55748,1.36563,2.84911e-05,2.84911e-05,2.84911e-05
41,64.3864,0.77911,1.01478,1.21198,0.74461,0.53333,0.68398,0.43958,1.68305,1.63671,1.38215,2.87504e-05,2.87504e-05,2.87504e-05
42,66.0504,0.85074,1.48256,1.34874,0.74461,0.53333,0.68398,0.43958,1.68305,1.63671,1.38215,2.89861e-05,2.89861e-05,2.89861e-05
43,67.4621,1.02399,1.69469,1.37978,0.57995,0.52356,0.68218,0.43151,1.70674,1.69206,1.40434,2.91983e-05,2.91983e-05,2.91983e-05
44,68.8429,0.96666,1.59365,1.37841,0.57995,0.52356,0.68218,0.43151,1.70674,1.69206,1.40434,2.93869e-05,2.93869e-05,2.93869e-05
45,70.266,0.78452,1.12588,1.23228,0.74647,0.51667,0.61693,0.37364,1.72906,1.75555,1.41792,2.9552e-05,2.9552e-05,2.9552e-05
46,71.6645,0.78466,0.76169,1.07982,0.74647,0.51667,0.61693,0.37364,1.72906,1.75555,1.41792,2.96935e-05,2.96935e-05,2.96935e-05
47,73.1448,1.0793,1.07783,1.41803,0.75078,0.51667,0.61442,0.35536,1.72254,1.76945,1.41434,2.98114e-05,2.98114e-05,2.98114e-05
48,74.5663,0.76919,0.86023,1.21024,0.75078,0.51667,0.61442,0.35536,1.72254,1.76945,1.41434,2.99058e-05,2.99058e-05,2.99058e-05
49,76.2169,0.56532,0.91884,1.05672,0.76391,0.51667,0.60888,0.35477,1.71051,1.84521,1.41474,2.99766e-05,2.99766e-05,2.99766e-05
50,77.7436,0.8643,0.94892,1.32669,0.76391,0.51667,0.60888,0.35477,1.71051,1.84521,1.41474,3.00238e-05,3.00238e-05,3.00238e-05
51,79.2642,0.71992,0.99181,1.03365,0.79623,0.51667,0.54122,0.29456,1.75512,1.937,1.43875,3.00475e-05,3.00475e-05,3.00475e-05
52,80.9963,0.51194,0.82499,1.00766,0.79623,0.51667,0.54122,0.29456,1.75512,1.937,1.43875,3.00476e-05,3.00476e-05,3.00476e-05
53,82.4239,0.71723,0.95625,1.17894,0.79623,0.51667,0.54122,0.29456,1.75512,1.937,1.43875,3.00242e-05,3.00242e-05,3.00242e-05
54,83.844,0.73958,0.8297,1.18691,0.80964,0.51541,0.53628,0.28752,1.7794,2.02993,1.4475,2.99772e-05,2.99772e-05,2.99772e-05
55,85.4855,0.82179,0.94188,1.20988,0.80964,0.51541,0.53628,0.28752,1.7794,2.02993,1.4475,2.99066e-05,2.99066e-05,2.99066e-05
56,87.084,1.12346,1.43348,1.33177,0.80964,0.51541,0.53628,0.28752,1.7794,2.02993,1.4475,2.98125e-05,2.98125e-05,2.98125e-05
57,88.634,0.87074,0.90318,1.29317,0.82301,0.50826,0.52167,0.25599,1.80454,2.13988,1.4558,2.96948e-05,2.96948e-05,2.96948e-05
58,90.0834,0.58147,0.6729,1.01328,0.82301,0.50826,0.52167,0.25599,1.80454,2.13988,1.4558,2.95535e-05,2.95535e-05,2.95535e-05
59,91.5197,0.74906,1.00121,1.28045,0.82301,0.50826,0.52167,0.25599,1.80454,2.13988,1.4558,2.93887e-05,2.93887e-05,2.93887e-05
60,93.1272,0.58881,1.03842,1.1461,0.83071,0.5049,0.5204,0.25462,1.78493,2.19552,1.45328,2.92003e-05,2.92003e-05,2.92003e-05
61,94.7559,0.86615,1.04724,1.17672,0.83071,0.5049,0.5204,0.25462,1.78493,2.19552,1.45328,2.89884e-05,2.89884e-05,2.89884e-05
62,96.1651,0.86027,0.87741,1.29571,0.83071,0.5049,0.5204,0.25462,1.78493,2.19552,1.45328,2.87529e-05,2.87529e-05,2.87529e-05
63,97.7457,0.79773,1.41479,1.0981,0.84573,0.50373,0.51965,0.25855,1.7689,2.23274,1.45214,2.84938e-05,2.84938e-05,2.84938e-05
64,99.1959,0.75179,0.85753,1.2368,0.84573,0.50373,0.51965,0.25855,1.7689,2.23274,1.45214,2.82112e-05,2.82112e-05,2.82112e-05
65,100.587,0.76201,0.96797,1.13449,0.84573,0.50373,0.51965,0.25855,1.7689,2.23274,1.45214,2.7905e-05,2.7905e-05,2.7905e-05
66,102.123,0.81458,0.89155,1.25414,0.84905,0.49578,0.51814,0.2604,1.74203,2.20699,1.45236,2.75753e-05,2.75753e-05,2.75753e-05
67,103.656,0.82303,1.13866,1.23041,0.84905,0.49578,0.51814,0.2604,1.74203,2.20699,1.45236,2.7222e-05,2.7222e-05,2.7222e-05
68,105.189,0.67172,0.84105,1.09565,0.84905,0.49578,0.51814,0.2604,1.74203,2.20699,1.45236,2.68451e-05,2.68451e-05,2.68451e-05
69,106.728,0.67496,0.66263,1.17771,0.84469,0.49329,0.51919,0.26159,1.76941,2.20543,1.46441,2.64447e-05,2.64447e-05,2.64447e-05
70,108.312,0.70963,0.65261,1.03016,0.84469,0.49329,0.51919,0.26159,1.76941,2.20543,1.46441,2.60207e-05,2.60207e-05,2.60207e-05
71,109.95,0.84633,0.82864,1.22845,0.84469,0.49329,0.51919,0.26159,1.76941,2.20543,1.46441,2.55731e-05,2.55731e-05,2.55731e-05
72,111.402,0.86849,0.98513,1.13573,0.84933,0.49271,0.51682,0.30911,1.80278,2.32437,1.49987,2.5102e-05,2.5102e-05,2.5102e-05
73,112.867,0.76885,1.07783,1.16794,0.84933,0.49271,0.51682,0.30911,1.80278,2.32437,1.49987,2.46073e-05,2.46073e-05,2.46073e-05
74,114.273,0.82657,0.77806,1.14316,0.84933,0.49271,0.51682,0.30911,1.80278,2.32437,1.49987,2.40891e-05,2.40891e-05,2.40891e-05
75,115.712,0.65307,0.65741,1.19993,0.84694,0.49462,0.51634,0.25391,1.80357,2.29744,1.50002,2.35472e-05,2.35472e-05,2.35472e-05
76,117.17,0.57034,0.73573,1.05877,0.84694,0.49462,0.51634,0.25391,1.80357,2.29744,1.50002,2.29819e-05,2.29819e-05,2.29819e-05
77,118.675,0.73149,0.71286,1.19279,0.84694,0.49462,0.51634,0.25391,1.80357,2.29744,1.50002,2.23929e-05,2.23929e-05,2.23929e-05
78,120.207,0.61486,0.965,1.08718,0.84691,0.49246,0.51891,0.30444,1.82078,2.37861,1.52226,2.17805e-05,2.17805e-05,2.17805e-05
79,121.725,0.87857,0.74252,1.19567,0.84691,0.49246,0.51891,0.30444,1.82078,2.37861,1.52226,2.11444e-05,2.11444e-05,2.11444e-05
80,123.34,0.73225,0.73291,1.10854,0.84691,0.49246,0.51891,0.30444,1.82078,2.37861,1.52226,2.04848e-05,2.04848e-05,2.04848e-05
81,125.02,0.68873,0.66166,1.21573,0.84571,0.49074,0.52049,0.24763,1.82675,2.27576,1.51469,1.98016e-05,1.98016e-05,1.98016e-05
82,126.451,0.59674,0.65968,1.00476,0.84571,0.49074,0.52049,0.24763,1.82675,2.27576,1.51469,1.90949e-05,1.90949e-05,1.90949e-05
83,127.882,0.74144,0.73236,1.10527,0.84571,0.49074,0.52049,0.24763,1.82675,2.27576,1.51469,1.83646e-05,1.83646e-05,1.83646e-05
84,129.43,0.76051,0.86879,1.13617,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.76107e-05,1.76107e-05,1.76107e-05
85,130.889,0.64475,0.74439,1.10787,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.68333e-05,1.68333e-05,1.68333e-05
86,132.302,0.97378,1.1296,1.47602,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.60323e-05,1.60323e-05,1.60323e-05
87,133.76,0.73745,1.04141,1.21152,0.84445,0.49102,0.51266,0.24456,1.83551,2.31728,1.51034,1.52077e-05,1.52077e-05,1.52077e-05
88,135.221,0.60957,0.67341,1.00025,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.43596e-05,1.43596e-05,1.43596e-05
89,136.658,0.63702,0.72396,1.10434,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.34879e-05,1.34879e-05,1.34879e-05
90,138.182,0.53165,0.63385,1.01129,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.25927e-05,1.25927e-05,1.25927e-05
91,139.892,0.52647,0.50355,0.91787,0.85068,0.49011,0.51458,0.29299,1.88991,2.31943,1.54182,1.16739e-05,1.16739e-05,1.16739e-05
92,141.35,0.63173,0.54676,1.08449,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,1.07315e-05,1.07315e-05,1.07315e-05
93,142.835,0.78585,0.59949,1.34154,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,9.76562e-06,9.76562e-06,9.76562e-06
94,144.406,0.46611,0.4065,0.8987,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,8.77613e-06,8.77613e-06,8.77613e-06
95,145.965,0.59939,0.54963,0.93449,0.84555,0.49373,0.51461,0.2973,1.86601,2.36292,1.52812,7.76308e-06,7.76308e-06,7.76308e-06
96,147.459,0.48272,0.4714,0.93384,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,6.72648e-06,6.72648e-06,6.72648e-06
97,148.849,0.60111,0.57191,0.99415,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,5.6663e-06,5.6663e-06,5.6663e-06
98,150.343,0.46017,0.55093,0.91644,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,4.58257e-06,4.58257e-06,4.58257e-06
99,151.9,0.5212,0.48517,0.94859,0.82912,0.49609,0.51126,0.29373,1.80571,2.24421,1.47723,3.47528e-06,3.47528e-06,3.47528e-06
100,153.594,0.50996,0.52525,1.0159,0.82897,0.48974,0.51809,0.31889,1.73984,2.08499,1.4272,2.34442e-06,2.34442e-06,2.34442e-06
