epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91794,1.03765,2.59414,1.23242,0.56607,0.85,0.87816,0.63499,1.65875,1.06267,1.38261,0,0,0
2,4.02842,1.02506,3.6482,1.45021,0.5633,0.85,0.88864,0.6374,1.68041,1.05937,1.38864,1.17822e-06,1.17822e-06,1.17822e-06
3,5.6247,1.16475,3.47988,1.37231,0.57093,0.85,0.85546,0.62172,1.6889,1.06068,1.38993,2.33288e-06,2.33288e-06,2.33288e-06
4,7.31855,1.14299,2.84119,1.37671,0.6085,0.92596,0.90519,0.64286,1.67593,1.05707,1.37332,3.46397e-06,3.46397e-06,3.46397e-06
5,8.95829,1.20514,2.1193,1.72103,0.55024,0.85,0.85669,0.63618,1.66416,1.05476,1.36442,4.5715e-06,4.5715e-06,4.5715e-06
6,10.5231,1.16088,2.53633,1.53628,0.54901,0.86193,0.87521,0.62872,1.66534,1.06468,1.36507,5.65548e-06,5.65548e-06,5.65548e-06
7,12.4084,1.2971,2.53356,1.5763,0.55154,0.86581,0.8846,0.62965,1.66013,1.06369,1.3604,6.71588e-06,6.71588e-06,6.71588e-06
8,13.9891,1.18347,2.41184,1.61997,0.53734,0.86667,0.89452,0.63073,1.64899,1.05414,1.3543,7.75273e-06,7.75273e-06,7.75273e-06
9,15.4912,1.21661,3.21698,1.43019,0.53427,0.86667,0.89432,0.63229,1.64789,1.0559,1.3509,8.76602e-06,8.76602e-06,8.76602e-06
10,17.075,1.1285,2.43798,1.40042,0.61723,0.93822,0.90844,0.63348,1.63859,1.05135,1.3466,9.75574e-06,9.75574e-06,9.75574e-06
11,18.7843,1.38356,2.70484,1.71332,0.62641,0.94311,0.90939,0.63436,1.63527,1.04767,1.34433,1.07219e-05,1.07219e-05,1.07219e-05
12,20.7977,0.93332,1.73735,1.36706,0.63649,0.94213,0.91134,0.63498,1.64061,1.0629,1.34715,1.16645e-05,1.16645e-05,1.16645e-05
13,22.507,1.19063,2.66562,1.49566,0.6502,0.94068,0.91158,0.64453,1.64389,1.07534,1.34752,1.25835e-05,1.25835e-05,1.25835e-05
14,24.0463,1.21426,3.46068,1.63309,0.6561,0.77125,0.91183,0.65091,1.64251,1.0888,1.34667,1.3479e-05,1.3479e-05,1.3479e-05
15,25.9037,1.25703,2.47554,1.6745,0.65894,0.93791,0.91339,0.6487,1.64405,1.08881,1.34801,1.43509e-05,1.43509e-05,1.43509e-05
16,27.2738,1.00343,2.16524,1.42849,0.64826,0.93581,0.91362,0.64688,1.62866,1.09104,1.34571,1.51993e-05,1.51993e-05,1.51993e-05
17,28.6741,0.7144,2.37606,1.22706,0.65361,0.93722,0.91368,0.64773,1.64311,1.10726,1.34744,1.60241e-05,1.60241e-05,1.60241e-05
18,30.3324,1.18322,2.38711,1.52487,0.65361,0.93722,0.91368,0.64773,1.64311,1.10726,1.34744,1.68253e-05,1.68253e-05,1.68253e-05
